item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,mean_daily_demand,std_daily_demand,cv,adi,cv2,demand_pattern,cv_class,rop_global,slots_needed
14500013001,味味A小排骨雞麵(碗) 90g,43.0,28.0,17.0,20468.0,1.61,12.0,1705.7,PCS,567.0,0.1852102464958917,11.472,18.673,6906,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 42, 48, 54, 60, 81, 132]","[248, 98, 12, 152, 5, 7, 1, 50, 2, 2, 3, 4, 4, 1, 1, 1, 11]",A,434,221.5714,129.0568,0.5825,1.0,0.3393,smooth,1,103,19
14501045001,來一客川辣牛肉 67g,45.0,34.0,21.0,32130.0,3.0,24.0,1338.8,PCS,565.0,0.1889768503858269,6.062,7.03,3492,"[3, 6, 18, 21, 24, 27, 48, 54]","[372, 145, 2, 1, 51, 1, 3, 1]",A,384,154.2857,139.2452,0.9025,1.0,0.8145,erratic,1,100,16
14021010001,卡迪那95度C 北海道薯條-海苔,42.0,32.0,13.0,17472.0,2.1,12.0,1456.0,PCS,561.0,0.1908468192196796,1.884,1.946,1087,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16]","[372, 111, 38, 15, 12, 9, 3, 3, 2, 2, 2, 7, 1]",A,105,51.7619,22.711,0.4388,1.0,0.1925,smooth,0,25,3
14011053001,乖乖-五香,50.0,40.0,27.0,54000.0,2.81,24.0,2250.0,PCS,559.0,0.192710121497975,6.225,5.753,3492,"[4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 48]","[417, 89, 21, 9, 6, 8, 4, 1, 1, 2, 3]",A,297,147.0476,90.7736,0.6173,1.0,0.3811,smooth,1,71,13
14505009001,科學麵原味40gX12特規,26.0,18.0,12.0,5616.0,0.7,1.0,5616.0,PCS,551.0,0.1963867268878852,1.402,0.97,774,"[1, 2, 3, 4, 5, 10, 18]","[368, 174, 3, 4, 1, 1, 1]",A,85,35.2857,29.8214,0.8451,1.1667,0.4661,smooth,1,22,9
10032047001,阿薩姆原味奶茶TP250ml,42.0,25.0,8.0,8400.0,6.13,24.0,350.0,PCS,544.0,0.1982000299995,23.75,13.278,13656,"[6, 12, 18, 24, 30, 36, 42, 48]","[123, 23, 14, 311, 1, 3, 2, 98]",A,1368,650.2857,308.1132,0.4738,1.0,0.2245,smooth,0,335,9
10034019001,御茶園特上檸檬茶 250ml,35.0,20.0,12.0,8400.0,6.66,24.0,350.0,PCS,529.0,0.2035366077232046,26.349,15.75,14334,"[6, 12, 18, 24, 30, 36, 42, 48, 72, 96]","[106, 21, 7, 273, 2, 2, 2, 124, 3, 4]",A,1389,682.5714,303.3171,0.4444,1.0,0.1975,smooth,0,335,9
10033037001,御茶園特上綠茶 250ml,35.0,21.0,11.0,8085.0,6.58,24.0,336.9,PCS,522.0,0.2087831869468842,31.543,20.106,16560,"[6, 12, 18, 24, 30, 42, 48, 54, 72, 120, 240]","[61, 13, 3, 267, 3, 1, 153, 2, 16, 5, 1]",A,1505,777.1429,441.926,0.5687,1.0,0.3234,smooth,1,354,9
14501063001,統一蔥燒牛肉碗麵 90g,42.0,28.0,17.0,19992.0,1.8,12.0,1666.0,PCS,521.0,0.2105198246695888,8.209,6.775,4326,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 36]","[242, 83, 4, 140, 4, 2, 1, 46, 1, 1, 3]",A,405,206.0,120.5736,0.5853,1.0,0.3426,smooth,1,96,12
10000005001,可口可樂330ml,40.0,28.0,12.0,13440.0,8.89,24.0,560.0,PCS,516.0,0.2122397960033999,21.691,17.341,11670,"[6, 12, 18, 24, 30, 36, 42, 48, 72, 96, 108]","[181, 55, 22, 179, 3, 1, 3, 81, 7, 5, 1]",A,1365,550.5714,494.5722,0.8983,1.0,0.8069,erratic,1,356,15
