item_code,item_name,order_frequency,total_qty,avg_qty_per_order,days_ordered,best_fit,poisson_p,normal_p,note
14506141001,家福關廟麵1200g 家福關廟麵1200,23,30,1.3043478260869563,9,poisson,0.0052,0.0007,
14506142001,農心魷魚海鮮味湯麵(包)124g,50,224,4.48,17,poisson,0.3944,0.0,
14506143001,農心安城湯麵(包)125g 農心安城湯麵(,45,200,4.444444444444445,14,poisson,0.1651,0.0,
14506145001,五木南投意麵經濟包 65gX10,17,21,1.2352941176470589,8,poisson,0.1087,0.0021,
14506150001,譽方媽媽 關廟麵1200g,28,38,1.3571428571428572,14,normal,0.4216,0.444,
14506159001,KORMOSA韓素香紅燒湯麵110g x4 素食紅燒湯麵,43,49,1.1395348837209305,19,poisson,0.6372,0.6074,
14506164001,譽方媽媽 關廟細麵1200g,37,43,1.162162162162162,20,poisson,0.4802,0.2348,
14506165001,中農經典北方拉麵 900g 中農北方拉麵,4,5,1.25,3,poisson,1.0,0.0,
14506171001,家樂福油蔥招牌乾麵100g 家樂福油蔥招牌,8,70,8.75,4,poisson,0.2135,0.0049,
14506173001,金雞牌關廟麵 1200g,14,18,1.2857142857142858,11,poisson,0.7144,0.0448,
14506174001,不倒翁Q拉麵(純麵條)110g 不倒翁Q拉麵(純,34,220,6.470588235294118,14,poisson,0.1769,0.0,
14506190001,五木細關東麵家庭號1.05Kg 細關東麵家庭號,26,44,1.6296296296296295,13,poisson,0.1985,0.1785,
14506199001,維力蒸煮麵65g,10,130,13.0,6,poisson,0.3793,0.0,
14506204001,KORMOSA泡菜火鍋湯麵(包)110g KORMOSA泡菜火,20,96,4.8,10,poisson,0.0326,0.0271,
14506206001,鄉傳鹿港納財麵線1600g,1,1,1.0,1,poisson,,,sparse
14506211001,KORMOSA韓素香芹菜香菇湯麵110g x4 素芹菜香菇湯麵,22,26,1.181818181818182,13,poisson,0.6492,0.1869,
14506222001,正嘉樹豆簽 900g 正嘉樹豆簽 900,5,7,1.4,4,poisson,1.0,0.0,
