sku_i,sku_j,cooc,n_i,n_j,jaccard
10031013001,10033064001,94,713,433,0.08935361216730038
14832021001,14840003001,114,681,712,0.08913213448006255
14831002001,14831013001,26,217,101,0.08904109589041095
14502004001,14502026001,49,252,348,0.08892921960072596
14504008001,14504027001,24,123,171,0.08888888888888889
14509008001,14510033001,24,182,112,0.08888888888888889
14023127001,14023302001,23,214,68,0.0888030888030888
14112016001,14112021001,32,282,111,0.0886426592797784
14132015001,14132052001,46,421,144,0.08863198458574181
14102249001,14112013001,132,765,857,0.08859060402684564
14020026001,14023056001,226,881,1908,0.08817791650409676
14102250001,14131033001,108,677,658,0.08801955990220049
14023006001,14023027001,33,235,173,0.088
14130001001,14131043001,22,187,85,0.088
14000033001,14000042001,26,124,198,0.08783783783783784
10011016001,10014033001,30,207,165,0.08771929824561403
14500013001,14502011001,101,538,715,0.0876736111111111
14502077001,14503013001,61,486,271,0.08764367816091954
14000196001,14000197001,66,342,482,0.0870712401055409
14001074001,14504009001,21,183,80,0.08677685950413223
14502015001,14505031001,36,251,200,0.08674698795180723
14102238001,14104169001,32,214,187,0.08672086720867209
10031001001,10034042001,108,654,700,0.08667736757624397
14504027001,14506084001,20,171,80,0.08658008658008658
14500067001,14501942001,23,203,86,0.08646616541353383
14000057001,14131033001,115,791,658,0.08620689655172414
14130007001,14131025001,51,404,239,0.08614864864864864
14500000001,14502009001,189,1183,1210,0.08575317604355717
10040039001,10040062001,58,394,342,0.0855457227138643
10002035001,14510033001,23,180,112,0.08550185873605948
14501005001,14502029001,27,238,105,0.08544303797468354
10000002001,10002006001,66,448,393,0.08516129032258064
14502009001,14503000001,125,1210,386,0.0849762066621346
14621069001,14630016001,21,166,103,0.0846774193548387
10030007001,10031033001,57,475,256,0.08456973293768547
14501012001,14501026001,63,572,237,0.08445040214477212
14000057001,14010011001,101,791,511,0.08409658617818484
10040026001,10040094001,30,249,138,0.08403361344537816
10012011001,10013003001,29,141,234,0.0838150289017341
14001052001,14121063001,37,218,261,0.083710407239819
14504027001,14840018001,22,171,114,0.08365019011406843
10002035001,14506084001,20,180,80,0.08333333333333333
14102250001,14112013001,118,677,857,0.08333333333333333
