pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score,trip_start,trip_duration
224,271,8,115,2769,1,,
129,1,6,24,2778,1,,
465,828,10,24,2792,1,,
380,2775,3,24,2798,1,,
225,83,7,152,2806,1,,
145,1521,5,24,2806,1,,
287,2302,3,24,2812,1,,
320,0,8,101,2818,1,,
439,258,5,96,2824,1,,
134,107,5,150,2836,1,,
135,107,11,169,2837,1,,
454,606,9,95,2851,1,,
427,622,6,101,2864,1,,
267,2197,4,-80,2866,1,,
321,71,4,-80,2875,1,,
168,139,10,166,2891,1,,
413,134,8,67,2897,1,,
414,134,8,142,2909,1,,
264,327,6,158,2911,1,,
488,1204,2,43,2913,1,,
488,1212,2,-63,2913,1,,
415,169,4,148,2919,1,,
462,775,4,-80,2920,1,,
457,675,10,142,2923,1,,
0,22,5,158,2933,1,,
338,100,8,67,2935,1,,
128,39,7,67,2945,1,,
466,840,8,24,2948,1,,
1,46,6,164,2959,1,,
416,189,4,-40,2962,1,,
416,182,6,98,2962,1,,
280,2267,4,36,2968,1,,
283,2,12,-3,2978,1,,
322,0,4,67,2983,1,,
322,61,12,9,2983,1,,
139,170,10,-3,2992,1,,
475,993,4,36,2996,1,,
48,1378,12,-3,3009,1,,
76,47,4,148,3015,1,,
370,591,10,98,3024,1,,
318,2466,3,164,3029,1,,
408,35,10,-3,3030,1,,
179,1716,8,152,3039,1,,
116,1358,8,-3,3041,1,,
339,109,6,9,3060,1,,
339,85,8,-43,3060,1,,
60,3,10,174,3061,1,,
60,7,4,174,3061,1,,
473,963,8,125,3065,1,,
422,402,9,9,3073,1,,
389,250,2,96,3075,1,,
389,236,5,116,3075,1,,
428,719,5,-3,3077,1,,
363,254,3,125,3081,1,,
119,1377,8,-43,3091,1,,
2,37,8,125,3093,1,,
215,301,6,67,3103,1,,
215,1906,2,9,3103,1,,
320,91,6,98,3112,1,,
407,1129,6,174,3118,1,,
407,35,8,153,3118,1,,
390,236,6,137,3119,1,,
483,1133,2,-98,3125,1,,
454,615,10,40,3143,1,,
446,445,6,101,3148,1,,
437,186,6,133,3148,1,,
452,561,8,174,3155,1,,
326,645,5,9,3156,1,,
450,539,6,9,3165,1,,
391,266,5,133,3166,1,,
393,2832,2,-98,3170,1,,
202,1838,2,125,3175,1,,
61,1799,2,165,3180,1,,
61,82,4,178,3180,1,,
347,551,5,98,3194,1,,
256,306,4,174,3196,1,,
466,849,8,-3,3216,1,,
300,2368,3,178,3222,1,,
457,664,12,-40,3229,1,,
457,667,8,98,3229,1,,
82,2921,3,153,3240,1,,
348,2629,2,178,3244,1,,
344,534,10,170,3251,1,,
135,1466,2,51,3259,1,,
421,341,5,170,3259,1,,
392,326,11,121,3263,1,,
475,1008,7,125,3274,1,,
165,1635,3,-43,3275,1,,
409,74,2,-98,3278,1,,
411,2908,3,-43,3281,1,,
180,1717,2,-3,3287,1,,
231,2003,2,-3,3293,1,,
448,487,2,170,3299,1,,
473,960,10,116,3307,1,,
458,691,2,96,3312,1,,
444,396,1,36,3315,1,,
352,592,4,145,3318,1,,
178,1708,1,-3,3321,1,,
470,3161,1,98,3331,1,,
410,86,2,142,3340,1,,
118,1372,2,9,3360,1,,
299,57,7,193,3364,1,,
437,186,3,199,3370,1,,
452,575,9,187,3377,1,,
454,602,10,67,3384,1,,
440,307,4,193,3390,1,,
401,917,10,175,3404,1,,
358,12,12,141,3409,1,,
298,15,1,210,3415,1,,
300,15,9,146,3422,1,,
455,635,2,146,3427,1,,
173,1677,2,167,3430,1,,
428,758,9,141,3439,1,,
322,2486,4,184,3446,1,,
162,126,8,175,3446,1,,
302,152,7,182,3457,1,,
442,344,5,176,3458,1,,
0,30,8,188,3478,1,,
407,66,12,13,3480,1,,
202,1836,3,17,3490,1,,
301,54,8,141,3492,1,,
361,11,7,13,3501,1,,
361,69,5,13,3501,1,,
38,63,8,141,3506,1,,
420,300,7,215,3512,1,,
409,86,1,167,3515,1,,
321,0,6,141,3517,1,,
408,68,10,215,3530,1,,
269,2207,3,13,3536,1,,
451,541,4,196,3545,1,,
174,153,6,13,3545,1,,
457,660,6,196,3554,1,,
483,1141,7,182,3555,1,,
448,498,6,181,3560,1,,
448,494,5,122,3560,1,,
459,701,6,13,3569,1,,
198,81,12,196,3571,1,,
229,1995,1,196,3574,1,,
424,519,8,196,3586,1,,
130,1435,8,-59,3598,1,,
470,914,3,202,3615,1,,
410,76,10,154,3616,1,,
410,76,10,146,3616,1,,
410,79,5,199,3616,1,,
110,1323,2,-59,3619,1,,
458,687,3,67,3621,1,,
264,33,5,182,3625,1,,
286,2300,2,200,3629,1,,
440,281,6,207,3641,1,,
440,295,5,176,3641,1,,
455,630,2,184,3657,1,,
288,20,2,223,3666,1,,
117,1,12,14,3666,1,,
117,1364,5,14,3666,1,,
428,2981,2,200,3672,1,,
360,12,2,214,3673,1,,
242,59,1,182,3674,1,,
412,122,6,14,3676,1,,
456,641,7,14,3686,1,,
163,10,8,225,3689,1,,
