item_code,item_id,n_slots,s_total,rop_global,rop_per_slot
14011005001,789,2,24,1,1
14501037001,790,1,48,3,3
14506084001,791,1,30,1,1
15022017001,792,2,384,20,10
14830005001,793,1,240,4,4
14001138001,794,2,24,1,1
14222043001,795,2,20,1,1
11103015001,796,3,36,2,1
14615009001,797,1,48,2,2
31502025001,798,1,60,1,1
12102140001,799,1,72,2,2
12120052001,800,1,72,4,4
10002040001,801,4,48,3,1
14506898001,802,1,80,5,5
10030015001,803,2,96,8,4
10040058001,804,6,288,28,5
10040010001,805,5,240,21,5
11050077001,806,3,12,5,2
14104079001,807,2,48,2,1
14615133001,808,4,48,4,1
10040040001,809,7,28,2,1
14506067001,810,1,96,3,3
11103137001,811,9,108,11,2
14023295001,812,3,18,1,1
14510133001,813,2,26,1,1
15023011001,814,1,192,16,16
14003054001,815,2,24,2,1
14011011001,816,2,24,1,1
14830001001,817,1,120,4,4
10030012001,818,4,64,5,2
14121269001,819,3,15,1,1
11040021001,820,1,36,2,2
14621029001,821,1,36,3,3
14111123001,822,1,40,6,6
14500024001,823,5,120,10,2
14831009001,824,1,216,11,11
11061068001,825,1,20,1,1
14101007001,826,1,24,1,1
12102095001,827,1,72,2,2
14505046001,828,1,48,2,2
12010110001,829,1,36,2,2
11051002001,830,1,36,2,2
14501058001,831,3,72,6,2
14022002001,832,2,24,1,1
14502019001,833,1,90,6,6
15023013001,834,1,192,16,16
14105129001,835,1,18,1,1
14243058001,836,1,60,1,1
10052025001,837,2,48,2,1
10014092001,838,2,48,3,2
10040008001,839,8,96,8,1
11050020001,840,2,24,1,1
14000123001,841,1,10,1,1
14244918001,842,1,36,2,2
12011033001,843,3,36,3,1
14311158001,844,2,48,5,3
14244058001,845,2,24,1,1
10035006001,846,1,168,14,14
14121059001,847,1,20,2,2
14010097001,848,2,12,4,2
14510218001,849,3,39,3,1
10040013001,850,4,384,28,7
14011042001,851,1,20,1,1
10030018001,852,4,64,5,2
31500029001,853,1,30,1,1
14620042001,854,3,36,3,1
