tick,total_energy,job_queue_len,stop_and_go,total_turning
16626.15,32089897.043066762,19,48408,37232
16626.3,32090678.606291357,19,48408,37232
16626.45,32091031.485855006,18,48408,37233
16626.6,32091306.8166032,18,48408,37233
16626.75,32091583.89408741,18,48408,37233
16626.9,32091854.06652574,18,48408,37233
16627.05,32092111.6382565,18,48408,37233
16627.2,32092417.715046793,18,48410,37234
16627.35,32092761.505933005,18,48410,37236
16627.5,32092979.756788727,18,48411,37236
16627.65,32093265.29302282,18,48411,37237
16627.8,32093483.14620516,18,48411,37237
16627.95,32093707.322979536,18,48411,37237
16628.1,32093916.843860812,18,48412,37237
16628.25,32094191.749204077,18,48413,37238
16628.4,32094497.945296172,18,48413,37239
16628.55,32094728.662832912,18,48413,37239
16628.7,32094975.80846349,18,48413,37239
16628.85,32095226.86389234,18,48413,37239
16629.0,32095481.52924126,18,48413,37239
16629.15,32095724.25236904,18,48414,37239
16629.3,32095942.44781113,18,48415,37239
16629.45,32097383.779939,18,48415,37239
16629.6,32097611.3786646,17,48416,37239
16629.75,32097938.087681793,17,48416,37240
16629.9,32098179.852896463,17,48416,37240
16630.05,32098423.798440512,17,48416,37240
16630.2,32098671.282664094,17,48417,37240
16630.35,32098948.93335463,17,48419,37241
16630.5,32099247.321297456,17,48420,37242
16630.65,32099550.56080533,17,48421,37243
16630.8,32099849.615675986,17,48421,37244
16630.95,32100095.69023848,17,48421,37244
16631.1,32100347.173959102,17,48421,37244
16631.25,32100591.10023528,17,48422,37244
16631.4,32100818.67207928,17,48424,37244
16631.55,32101911.65410528,17,48424,37245
16631.7,32102155.076271567,17,48425,37245
16631.85,32102410.34037815,17,48427,37246
16632.0,32102695.374786697,17,48427,37247
16632.15,32102914.87202092,17,48427,37247
16632.3,32103140.40695081,17,48427,37247
16632.45,32103387.81619706,17,48427,37247
16632.6,32103633.39159314,17,48428,37247
16632.75,32103912.05076023,17,48428,37248
16632.9,32104182.686958797,17,48428,37248
16633.05,32104447.92419759,17,48429,37248
16633.2,32104779.005436797,17,48429,37249
16633.35,32105053.693976987,17,48429,37249
16633.5,32105347.002493333,17,48429,37249
16633.65,32105651.22113445,17,48429,37249
16633.8,32105961.951842427,17,48429,37249
16633.95,32106271.02318544,17,48430,37249
16634.1,32106624.69272742,17,48431,37250
16634.25,32107012.17259325,17,48431,37251
16634.4,32107313.511998832,17,48431,37251
16634.55,32107593.516596332,17,48432,37251
16634.7,32107958.137107734,17,48433,37252
16634.85,32108310.772408217,17,48433,37253
16635.0,32108582.11230072,17,48433,37253
16635.15,32108856.09753622,17,48433,37253
16635.3,32109171.668544434,17,48434,37254
16635.45,32109482.147993565,17,48435,37255
16635.6,32109767.098834217,17,48436,37256
16635.75,32109993.077026434,17,48437,37256
16635.9,32110267.336119443,17,48437,37257
16636.05,32110507.608996317,17,48437,37257
16636.2,32110753.414672703,17,48437,37257
16636.35,32111001.639148578,17,48438,37257
16636.5,32111269.794793665,17,48438,37258
16636.65,32111528.68503094,17,48438,37258
16636.8,32111797.71701349,17,48438,37258
16636.95,32112088.0859372,17,48438,37258
16637.1,32112386.85519508,17,48438,37258
16637.25,32112704.41309116,17,48438,37258
16637.4,32113029.11261926,17,48438,37258
16637.55,32113361.45776473,17,48438,37258
16637.7,32113706.10992865,17,48438,37258
16637.85,32114038.584881205,17,48439,37258
